Scientific Name,Habitat Comments
Catharus bicknelli,"BREEDING: marshes, along sloughs, rivers, lakeshores, and impoundments, or in wet meadows, typically in sites with mixture of emergent vegetation and open water. Cattails, bulrushes, burreed, and/or phragmites commonly are present in nesting areas (Bent 1921, Cuthbert 1954, Goodwin 1960, Bailey 1977, Firstencel 1987, Novak 1990). Nested in greatest numbers where emergent vegetation and open water are in an approximately 50:50 ratio (Weller and Spatcher 1965). In Wisconsin, Tilghman (1979) found nests in areas where emergent marsh coverage was 51-75%. In British Columbia, nests occurred in areas with 33% open water, 42% matted vegetation, and 25% standing vegetation (Chapman-Mosher 1987). <br><br>Nests may be placed in a variety of vegetative situations, from dense stands of emergent vegetation to open water (Bergman et al. 1970, Novak 1990), but moderate or sparse vegetation appears to be preferred (Cuthbert 1954, Weller and Spatcher 1965, Dunn 1979). Nests are typically located in shallow water, close to open water or openings in stands of emergent vegetation. The range of water depths reported varies from a ""few inches"" (Bent 1921) to 1-2 m (Dunn 1979). Bailey (1977) found that nests were never more than 1-2 m from open water. Dunn (1979) and Cuthbert (1954) reported the average distance to open water as 4 m and 4.6-6.1 m, respectively. One site in New York where 9 nests averaged 25.3 m from open water (Novak 1990) appears to be the exception, although Firstencel (1987) also reported nests located ""deep within the cattails"". <br><br>Nests on heap of floating vegetation, on old muskrat house, old grebe or coot nest, or on floating wood (Cuthbert 1954, Bergman et al. 1970, Bailey 1977, Dunn 1979, Novak 1990). Floating mats of muck or algae, mud flats, and mud mounds and islands also have been used as nest substrates (Cuthbert 1954, Bailey 1977, Dunn 1979, Connell and Norman 1989, Novak 1990). The nest consists of a small gathering of aquatic vegetation with a simple, cup-like bowl (Weller and Spatcher 1965, Bailey 1977). Although the first egg may be laid before the nest takes shape, vegetation gathered at the nest site is added throughout the incubation period (Baggerman et al. 1956, Goodwin 1960, Bailey 1977). Will nest on artificial nesting platforms (Muller et al. 1992). The height of eggs above water has often been measured. Although the height may vary based upon substrate chosen for nesting, the eggs are rarely located more than a few centimeters above the water level. The range reported in the literature varies from an average of 2.3 cm for 23 nests on dead floating vegetation in Iowa (Bergman et al. 1970), to 20.0 cm for two nests located on mud islands in New York (Firstencel 1987). The latter is clearly the exception as 8.6 cm for seven nests on old muskrat houses is the next highest figure reported (Weller and Spatcher 1965). <br><br>Exposed perches, such as channel marker posts, floating logs, fallen trees, and old dock or fence posts are used as stations for feeding recently fledged young, resting, and copulation (Cuthbert 1954, Novak 1990). <br><br>NON-BREEDING: pelagic waters as well as seacoasts, bays, estuaries, lagoons, lakes, reservoirs, and rivers (Eisenmann 1951, Zaret and Paine 1973, van Halewijn 1973, Spaans 1978, AOU 1983, Williams 1983); prefers sheltered offshore waters and bays, comes to shore chiefly during migrations (Stiles and Skutch 1989)."
Catharus fuscescens,"Breeding habitat includes various open situations with scattered bushes and trees: shortgrass, mixed-grass, and tallgrass prairie with a shrub component and sparse litter; parkland; sandhills; barrens; oldfields; cultivated fields; shrub thickets; shrubsteppe (native and altered); woodland edges; shelterbelts; orchards, parks; riparian areas; brushy pastures; overgrazed pastures; and savanna, (Rand 1948, Baepler 1968, Newman 1970, Rising 1974, Stewart 1975, Salt and Salt 1976, Wiens and Rotenberry 1981, Faanes 1983, Dinsmore et al. 1984, Kahl et al. 1985, Walley 1985, Sample 1989, Wershler et al. 1991, Bock and Bock 1992, Cable et al. 1992, Kaspari and Joern 1993, Zimmerman 1993, Bock et al. 1995, Faanes and Lingle 1995, Best et al. 1997, Prescott 1997, AOU 1998, Martin and Parrish 2000). <br><br>In Nevada, this species preferred areas of crested wheatgrass that were invaded by sagebrush over areas dominated solely by either sagebrush or wheatgrass; abundance was negatively correlated with sagebrush density (McAdoo et al. 1989). In Arizona, inhabited areas characterized by mean habitat values of 38 percent bare ground, 54 percent grass cover, 7 percent forb cover, less than 2 percent canopy cover, 13 centimeter grass height, and 0.068 shrubs per square meter; individuals usually were flushed near mesquite (Bock and Webb 1984). <br><br>Nests are either on the ground or close to the ground (most often within 4 meters) in woody vegetation (Ely 1957, Baepler 1968, McNair 1985). Ground nests may be located in areas of sparse ground cover such as those areas associated with burning, moderate to heavy grazing, or poor or eroded soils (Fitch 1958, Graber and Graber 1963, Baepler 1968, Kahl et al. 1985, Walley 1985, Zimmerman 1993, Prescott 1997), or in idle fields, lawns, and cemeteries (Baepler 1968, Salt and Salt 1976, Walley 1985). Ground nests often are placed at the base of a plant (Ely 1957, Baepler 1968, Rising 1974). In Montana, nests always were located under sagebrush (Cameron 1908). Above-ground nests may be located in various species of shrubs, saplings, and small trees (Baepler 1968, Newman 1970, McNair 1985). This species sometimes uses old nests of other birds (e.g., northern mockingbird, thrasher).<br><br>Nonbreeding habitats include agricultural areas, suburban gardens, oak woodlands, chaparral, and mesquite/acacia grassland (Rising 1996)."
Catharus guttatus,"Habitats include mountains and plains in open and semi-open areas: open coniferous forests, savanna, grasslands, fields, vicinity of cities and towns. Nesting occurs on the ground on a bare site in an open area. In some areas, this species also nests on flat gravel roofs of buildings, perhaps related to prey availability at artificial lights. It prefers areas with sandy soil in the southern United States."
Catharus minimus,"NON-BREEDING: along seacoasts, bays and harbors, estuaries, mudflats, marshes, rivers, lakes, ponds, and flooded fields (AOU 1983). More pelagic than most gulls, often feeds offshore (Braune 1989). BREEDING: coniferous woodland near ponds and lakes. Often nests in trees in old bird's nest (AOU 1983)."
Catharus ustulatus,N/A
Centronyx henslowii,"Freshwater and brackish marshes in cattails, tule, bulrush, and reeds (AOU 1983). Nests in marsh vegetation; female finishes one of several nests started by male; male may continue to build nests even after female begins incubation. Nesting success may be greatest in marshes with relatively dense vegetation and deep water (Leonard and Picman 1987)."
Certhia americana,N/A
Chaetura pelagica,"NON-BREEDING: coastal waters (e.g., rough water of rocky coasts, deep but calm bays and coves), large inland lakes and (less commonly) rivers. BREEDING: on lake islands and by pools in open tundra and taiga. Nest usually concealed in vegetation. Nest site selection apparently influenced by predation pressure from foxes, gulls, ravens, and jaegers."
Charadrius melodus,"Coniferous (primarily spruce and fir) and mixed coniferous- decidouous woodland, second growth, and occasionally parks; in migration and winter in a variety of forest and woodland habitats, and around human habitation (AOU 1983). <br /><br />Nests usually nests in dense foliage of deciduous tree or conifer, 2-21 m above ground (Terres 1980). See Bekoff et al. (1987) for nest-site characteristics in Colorado."
Charadrius semipalmatus,"BREEDING: Open woodland (especially where undergrowth is thick), parks, deciduous riparian woodland; in the West, nests in tall cottonwood and willow riparian woodland. Nests in deciduous woodlands, moist thickets, orchards, overgrown pastures; in tree, shrub, or vine, an average of 1-3 meters above ground (Harrison 1979). Subspecies <i>occidentalis</i> requires patches of at least 10 hectares (25 acres) of dense riparian forest with a canopy cover of at least 50 percent in both the understory and overstory; nests typically in mature willows (Biosystems Analysis 1989).<br /><br />NONBREEDING: forest, woodland, and scrub. Also mangroves in Puerto Rico (Raffaele 1983)."
Charadrius vociferus,"BREEDING: Assigned to ""eastern forest"" biogeographical classification by Pyle et al. (1994). Forest edge and open woodland, both deciduous and coniferous, with dense deciduous thickets (AOU 1998). Found in extensive tracts of dry upland woods where it uses the midstory canopy and the overstory canopy for most activities (Legrand and Hamel 1980). High-ground forest, open woodland, thickets, willow (SALIX spp.), alder (ALNUS spp.), aspen (POPULUS spp.), vines (del Hoyo et al. 1997). In northern plains also utilizes prairie shrub thickets and shelterbelts at lower elevations (Dobkin 1994). In Colorado, most observations in urban forests characterized by introduced tree species. Next most common sightings occur in riparian vegetation dominated by cottonwoods (POPULUS spp.) and boxelders (BISON-M 1997). <br><br>Nests in groves of trees, forest edges, moist thickets, overgrown pastures; in deciduous or evergreen tree or shrub. Is a low or ground nesting species (Peterjohn et al. 1995). Nest an open cup, average 1.8 meters above ground, but at times almost on the ground and concealed by tall herbage (Bent 1940, Harrison 1978, Spencer 1943). <br><br>NON-BREEDING: During migration occurs from tropical evergreen forest to arid subtropical scrub. In New Mexico occurs where stream conditions provide sufficient permanent moisture for the emergent plants or for a narrow band of deciduous trees and shrubs; at low elevation characterized by cottonwood and sycamore (PLATANUS spp.), at mid-elevations by white alder (ALNUS RHOMBIFOLIA) and bigleaf maple (ACER MACROPHYLLUS), and at high elevations by willow (DeGraaf et al. 1991). In Costa Rica, in second growth, scrubby areas, semi-open, forest edge (Stiles and Skutch 1989). Scrub (arid or humid) as well as forest, although most frequently in lowland humid regions (AOU 1998). Generally found from lowlands up to 2000 meters (del Hoyo et al. 1997). Chipley (1976) observed species in remnant subtropical oak woodland at 1800 meters in Colombia."
Charadrius wilsonia,"Open forest, both deciduous and coniferous, open woodland, open situations with scattered trees and snags, riparian woodland, pine-oak association, parks (AOU 1983). Nests in dead tree trunk, or stump, or dead top of live tree; sometimes nests in wooden pole, building or earth bank. Digs a nest hole cavity or reuses old one. Holes usually 2.5-7.5 m above ground (Harrison 1978)."
Chlidonias niger,"Inhabits a wide variety of vegetation types, particularly early successional stages. Occurs in croplands, grasslands, pastures, fallow fields, grass-brush rangelands, open pinelands, open mixed pine-hardwood forests, and habitat mosaics (Brennan 1999). In the Midwest and Northeast, associated principally with heterogeneous, patchy landscapes comprised of moderate amounts of row crops and grasslands and abundant woody edge (Burger and Linduska 1967, Roseberry and Sudkamp 1998). Open canopy (&lt;50%) pinelands and mixed pine-hardwood forests that have diverse groundcover vegetation, provide ideal habitat in the south (Brennan 1999, DeVos and Mueller 1993). In Texas rangelands, prefers areas containing the most bare ground, least grass cover, and most tall forbs (Hammerquist-Wilson and Crawford 1981). In the Oklahoma panhandle, prefers wooded riparian habitats (Schemnitz 1964). Selects more open, taller vegetation types than Scaled Quail (CALLIPEPLA SQUAMATA) in areas of sympatry in Texas (Reid et al. 1979). Nests on the ground, in a scrape lined with grasses and/or other dead vegetation, typically within standing herbaceous vegetation within 15-20 m of openings such as roads or fields. Grasses are typically woven over the top of the nest to conceal it (Brennan 1999)."
Chondestes grammacus,"In wild state along rocky seacoasts or inland in gorges, river valleys, caves, and desert oases. Feral birds occasionally in natural habitats, more abundantly near human settlement, especially in cities and around farms. Nests in cliff ledges, caves, building ledges, bridge structures, monuments, abandoned houses and barns, and in palm trees (e.g., West Indies)."
Chordeiles minor,"Once inhabited open country with trees and bushes, sandy reefs, open sandy areas in forest and savannah, but over much of its range now primarily a bird of cultivated land, villages and towns (Goodwin 1983). In general, habitat structure rather than species composition appears to be a the best predictor of suitable habitat (Landers and Buckner 1979). Found primarily in open areas with plants that produce small seeds such as abandoned agricultural fields, young pine plantations or citrus groves and other early successional habitats. These habitats tend satisfy their food and nesting requirements because forbs and grasses that produce small seeds, a major food of Ground-Doves, are generally abundant there (Landers and Buckner 1979). <br><br>Landers and Buckner (1979) found that sites with Ground-Doves were much more open than those without doves, and that sites with doves had smaller diameter trees than those without. Additionally, Ground-Doves may require a bare ground component for feeding and cover consisting of trees and shrubs in the desert or cropland and other habitat. Early seral stages also provide good nesting cover. Sandy soils with low natural fertility may be closely associated with this species (Hopkins 1958) because they tend to retard the rate of succession and make suitable Ground-Dove habitat available for longer periods of time (Jones and Mirarchi 1990). <br><br>Especially in the arid southwestern U.S., Ground-Doves are often associated with riparian areas. In New Mexico occurs up to 1524 m (5,000 ft.) in shrubby riparian habitat often at the edges of riparian woodlands and in desert shrub dominated by mesquite or OPUNTIA SPP. In California, found in desert scrub and near edges of desert riparian habitats, as well as in alkali desert scrub, desert wash, orchard-vineyard, and eucalyptus habitats, usually below 305 m (1000 ft.) (Small 1994). In coastal California, Ground-Doves prefer river valleys with similar growth (Garrett and Dunn 1981). In the Sonoran Desert of Arizona, occurs in desert scrub, open to dense vegetation of shrubs, low trees and succulents dominated by paloverde (CERCIDIUM MICROPHYLLUM), prickly pear (OPUNTIA SPP.), and giant saguaro (CEREUS GIGANTEUS). In the Chihuahuan Desert found in open stands of creosote bush and large succulents (FEROCACUnrankable S PRINGLEI, ECHINOCACUnrankable S PLATYACONTHUS, NMDGF 1994). <br><br>In the lower Colorado River region prefers agricultural edges, orchards and sparse riparian vegetation. Nests here can be found in almost any tree species with willows and mesquites near a water source preferred. Occurs in suburban habitats at Yuma, where it replaces the Inca Dove (COLUMBINA INCA) which is the small suburban dove elsewhere in the valley and throughout most of central and southern Arizona (Rosenberg et al.1991). In Texas, however, Ground-Dove habitat is quite different. Inca Dove typically occupies the cultivated areas, leaving brushy rangeland to the this species (Oberholser 1974), but Ground-Doves are also found in orchards, brushy rangeland, and open woodlands. Oberholser (1974) describes this species reaching its maximum density in the state of Texas on the one-million-acre King Ranch located in Kleberg and Kenedy counties where the primary habitat type was grassy mesquite-live oak-cactus savanna. Also found in scrubby juniper-oak associations in the Trans-Pecos and on the Edwards Plateau. <br><br>In Florida, Ground-Doves can be found in almost any habitat type from sea coast to pine flatwoods, except in wetlands. In Florida and South Texas birds also commonly nest in citrus groves (Mitchell et al. 1996) and sometimes in wax myrtle (MYRICA CERIFERA) on the coastal plain. In Georgia, nests in 5-year-old slash pine (PINUS ELLIOTTII) plantations (Landers and Buckner 1976). Hopkins (1957) reports that plum trees and some species of PRUNUS are usually present in Ground-Dove habitat in this state as well. Of sixty-nine sites surveyed by Jones and Mirarchi (1990) in Alabama, habitat types included old field (31), young pine plantation (23), forest (7), agricultural field (4), coastal dune (3) and homesite (1). Among coastal sites they recorded Common Ground-Doves in all vegetative zones from the foredunes through the hinddunes. Also observed in freshly plowed or recently harvested agricultural fields, and in hardwood and pine forest types. <br><br>Populations in Puerto Rico and the Virgin Islands occur primarily in coastal habitat from mangroves, palm groves and residential areas, cane field and arid scrublands. Most common in arid regions and is only absent from heavily wooded areas (Raffaele 1983). Throughout the remainder of its range, found in arid lowland scrub, low seasonally wet grassland, arid montane scrub, second growth scrub (0-1400m) in the tropical and subtropical zones."
Chroicocephalus philadelphia,"BRIEF SUMMARY: Olive-sided flycatchers breed in various forest and woodland habitats: taiga, subalpine coniferous forest, mixed coniferous-deciduous forest, burned-over forest, spruce or tamarack bogs and other forested wetlands, and along the forested edges of lakes, ponds, and streams Most nesting sites contain dead standing trees, which are used as singing and feeding perches. Nests are placed most often in conifers, on horizontal limbs 2-15 meters from the ground. During the northern winter, this species occurs in a variety of forest, woodland, and open situations with scattered trees, especially where tall dead snags are present.<br/><br/>BREEDING: in forest and woodland, especially in burned-over areas with standing dead trees, in taiga, subalpine coniferous forest and mixed coniferous-deciduous forest (AOU 1983). In Ontario, they nest in spruce or tamarack bogs, along the forested edges of beaver (<i>Castor canadensis</i>) ponds and rivers, and in burned-over forests (Cheskey 1987). In New York, however, where forest fires have been suppressed for much of this century, they favor small bog ponds and quaking bogs, swampy edges of lakes, marshy streams, backwaters of rivers, and beaver meadows. Most nesting sites contain dead standing trees, which are used as singing and feeding perches, and are bordered by forest (Peterson 1988). Birds also use small mountaintop ponds. Forests surrounding these sites are usually coniferous or mixed with deciduous trees. Black spruce (<i>Picea mariana</i>) is frequently mentioned as occurring at northern sites, and red spruce (<i>P. rubens</i>) at sites farther south, along with balsam fir, tamarack, and eastern hemlock (<i>Tsuga canadensis</i>) (Peterson 1988). <br/><br/>Forbush (1927) and Griscom and Snyder (1955) mentioned that in southern New England, pitch pine (<i>Pinus rigida</i>) habitats, including pine barrens, are preferred for nesting. Nesting occurs in swamps and open woods or small clearings where fire, flooding or timber harvesting have left standing dead trees (Forbush 1927). High elevation spruce-fir forests are used in the mountains of Virginia and North Carolina (Bailey 1913, Potter et al. 1980). <br/><br/>Nests are placed most often in conifers (Harrison 1978, 1979), on horizontal limbs from two to 15 m from the ground (Harrison 1979, Peck and James 1987). In Ontario, nests were found in black and white spruce (<i>Picea glauca</i>) (14 nests), jack pine (<i>Pinus banksiana</i>) (two nests), and balsam fir (one nest) (Peck and James 1987). Adirondack nests were built on an outer branch from 7.6-13.7 m high in balsam fir or spruce (Peterson 1988). Even though the nest is bulky, it is well concealed and rather difficult to find. <br/><br/>NON-BREEDING: Includes a variety of forest, woodland, and open situations with scattered trees, especially where tall dead snags are present (AOU 1983). Primary habitat is mature, evergreen montane forest (Altman 1997). Migrants in Costa Rica occur almost anywhere, in exposed snags and open branches; in winter mostly around edges and clearings, or broken canopy of highland forest and semi-open areas (Stiles and Skutch 1989)."
Circus hudsonius,"BREEDING: Inhabits a wide variety of wooded upland and lowland habitats including deciduous, coniferous, or mixed forests (Bond 1957, McCarty 1996). Occurs most frequently in forests with some degree of openness, whether it be the result of forest structure, natural disturbance, or human alteration (Palmer-Ball 1996). Intermediate-aged forests with a relatively sparse midstory are preferred (Crawford et al. 1981, Johnston and Odum 1956). Territories in such forests can be equally abundant under both an open or closed canopy (Johnston 1971). However, under some circumstances may be absent from closed-canopied forests (Hespenheide 1971). Tends to inhabit edges of younger forests having a relatively dense midstory (Palmer-Ball 1996, Strelke and Dickson 1980). Also occurs in anthropogenic habitats providing an open forested aspect such as parks and suburban neighborhoods (Palmer-Ball 1996). Nest is constructed atop a horizontal branch, 1.2-21.4 meters above the ground, in a wide variety of deciduous and coniferous trees (McCarty 1996, Terres 1991). NON-BREEDING: During migration through Central America, inhabits edges, clearings, and canopy of tall forest to second-growth scrub forest (Blake and Loiselle 1992, Greenberg 1992, Stiles and Skutch 1989). On wintering grounds inhabits secondary forest as well as edges or canopy gaps of primary forest (Fitzpatrick 1980, Pearson 1980, Stotz et al. 1992)."
Cistothorus palustris,"Riverine forest, cypress swamp, deciduous woodland, farmland (Sibley and Monroe 1990)."
Cistothorus palustris griseus,"Nearly ubiquitous except in heavily forested regions; more common in lowland than in highland habitats. More abundant toward the coast in eastern North America. Most abundant around human habitation in much of Central and South American range (Palmer 1988). <br><br>In Pennsylvania, selected large conifers for mid-winter roost (Wright et al. 1986). <br><br>Eggs are laid usually in a thicket or on a cliff ledge, also in cave or other situations (e.g., on bare ground at bottom of stump, in hollow log or tree, among rocks, etc.) (Jackson 1983); also sometimes in high buildings (Lima, Peru) (Palmer 1988). In Maryland/Pennsylvania, nested in areas that were roadless, forested, and undeveloped (Coleman and Fraser 1989)."
Cistothorus stellaris,"Nests in coniferous forests and woodlands. In migration and winter it also inhabits deciduous woodlands, shrubs and thickets and may be found in old fields, gardens, yards and parks. BREEDING: Nests in coniferous trees (usually spruce), 1-30 m above ground. Nest usually hangs from stem or twig fork, occasionally it saddles a branch."
Clangula hyemalis,"Open forest and woodland used for nesting and roosting, increasing in urban and suburban areas; open and partly open country for foraging, including agricultural lands, urban areas, orchards, and tidal flats; coastal tidelands near coniferous woodland or forest edge in coastal Alaska and Pacific Northwest; restricted mostly to riparian woodland and adjacent areas in arid regions (AOS 2020)."
Coccothraustes vespertinus,"Various situations from lowlands to mountains, open country to forested regions, and humid regions to desert; most frequently in hilly or mountainous areas, especially in vicinity of cliffs (AOU 1983). Closely associated with humans along Beaufort Sea coast of Alaska (Johnson and Herter 1989). <br><br>Nests usually on cliff ledges or in coniferous trees, also on man-made structures. See White and Tanner-White (1988) for information on the use of highway overpasses and billboards for nesting in Idaho and Utah. Often reuses nests in successive years."
Coccyzus americanus,"Beaches, bays, lagoons, inlets, swamps, near marshes, and, less frequently, deciduous or coniferous woodland. In inland situations, primarily in baldcypress swamps and along major watercourses; also garbage dumps and towns (McNair 1989). Nests in tree, usually high, but sometimes as low as 2 m (Harrison 1978)."
Coccyzus erythropthalmus,"BREEDING: Emergent wetlands, grass or sedge marshes and wet meadows in freshwater situations. Some breeding territories in these wet meadows contain firm footing and only a few remnant pools of water (Berkey 1991). These areas can range from damp to 38 cm (15 inches) of water but the average depth used for nesting is 8 to 15 cm (3 to 6 inches) (Savaloja 1981). Choose shallow water habitats over deep marsh zones. The vegetation ranges in height from about 5 to over 60 cm (2 to over 24 inches). This variation depends on the area and the time of year. In Minnesota, nest in large marshes composed of mixed sedge and bulrush, with cattails in deeper areas (Hanowski and Niemi 1990). The largest populations in North Dakota are in fens (bogs) with thick, soft mats of dead vegetation (Berkey 1991). In Manitoba, the birds are found in small boggy areas (Savaloja 1981). In the Great Lakes Region, nearly exclusively associated with CAREX spp. (Evers 1990). In Michigan, nest sites predominantly among the sedge CAREX LASIOCARPA (Bart et al. 1984, Bookhout and Stenzel 1987, Brewer et al. 1991). In Maine, found in damp, low-lying areas with water depths of 5 to 10 cm (2 to 4 inches) in otherwise dried-out portions of floodplains with a senescent mat composed of previous year's sedge growth (Gibbs et al. 1991). Habitats in Maine contained low densities of sedge, rush, and grass stems compared to other areas. Birds will use freshly burned area for territories only if burned after they have arrived to the breeding area (Savaloja 1981). NON-BREEDING: grain fields in winter and when migrating. Winters in both freshwater and brackish marshes, as well as in dense, deep grass. During fall migration, will use many open habitats, from rice paddies to dry hayfields. Winters are spent in a variety of areas, including salt-marshes, grain fields, damp grassy meadows, and freshwater marshes. In the south, the bird winters in agricultural fields and occasionally in rice fields (Berkey 1991)."
Colaptes auratus,"Primarily deciduous or mixed forest, open woodland, parks, residential areas with trees; less frequently in open situations with scattered trees. Nests commonly in crotch or on branch of tree, bush or vine, often 3-8 m above ground; both sexes build nest; sometimes reuses nest."
Colinus virginianus,"Lakes, sloughs, rivers, sometimes fields, in migration. Open tundra marshy lakes and ponds and sluggish streams in summer. Shallow lakes, ponds, and estuaries in winter. Breeds on tundra near open water. Usually nests on islets or along shoreline of ponds, but may nest as far as 1/2 mile from water. The nest is a mound (1-2 ft x 2-3 ft) of mosses, grasses, and sedges (Terres 1980). Same site may be used in successive years."
Columba livia,"Shallow fresh and brackish waters, preferring marshes, lagoons, wet cultivated fields, and occasionally forest (AOU 1983). Closely associated with rice culture in some areas (e.g., Florida). Generally on ground or in water; seldom perches in trees. Nests on hummocks among reeds and marshy vegetation (AOU 1983), in areas between ponds and swamps, or on levees and dikes and on rafts a few inches or more above water in flooded fields (Harrison 1979). Commonly lays eggs in the nests of other fulvous whistling ducks, sometimes in nests of ruddy duck and redhead."
Columbina passerina,"Breeding habitat includes tall grass areas, flooded meadows, prairie, deep cultivated grains, and hayfields (AOU 1998). In New York, old hayfields, at least 8 years since planting and including a minimum of alfalfa, were important nesting habitat (Bollinger and Gavin 1992). Nests are on the ground in small hollows in areas of concealing herbaceous vegetation. Individuals tend to return to breed in the same area in successive years, especially if that site has had good bobolink productivity (Bollinger and Gavin 1989). <br><br>This species generally selects habitat with moderate to tall vegetation, moderate to dense vegetation, and moderately deep litter (Tester and Marshall 1961, Bent 1958, Harrison 1974, Bollinger 1995), lacking oody vegetation (Sample 1989, Bollinger and Gavin 1992). It is found in native and tame grasslands, haylands, lightly to moderately grazed pastures, no-till cropland, small-grain fields, oldfields, wet meadows, and planted cover (e.g., Conservation Reserve Program [CRP] fields, Permanent Cover Program [PCP] fields, and Dense Nesting Cover [DNC]) (Bent 1958; Speirs and Orenstein 1967; Birkenholz 1973; Harrison 1974; Skinner 1974, 1975; Stewart 1975; Joyner 1978; Johnsgard 1979, 1980; Faanes 1981; Kantrud 1981; Kantrud and Kologiski 1982; Renken 1983; Huber and Steuter 1984; Basore et al. 1986; Renken and Dinsmore 1987; Bollinger 1988, 1991, 1995; Sample 1989; Bollinger et al. 1990; Messmer 1990; Herkert 1991a, 1994a,1997; Bollinger and Gavin 1992; Bock et al. 1993; Johnson and Schwartz 1993; Dhol et al. 1994; Hartley 1994; Jones 1994; King and Savidge 1995; Madden 1996; Patterson and Best 1996; Prescott and Murphy 1996; Best et al. 1997; Dale et al. 1997; Delisle and Savidge 1997; McMaster and Davis 1998; Schneider 1998). Commonly it occurs in areas with high percent grass cover and moderate percent forb cover (Wiens 1969, Skinner 1974, Renken 1983, Renken and Dinsmore 1987, Sample 1989, Herkert 1994a, Madden 1996). Bollinger (1988, 1995) noted preference for haylands with high grass-to-forb ratios and avoidance of haylands with high legume-to-grass ratios; however, a forb component was beneficial for nesting cover. <br><br>Within mixed-grass pastures in North Dakota, abundance was positively associated with percent grass cover, litter depth, density of low-growing shrubs (western snowberry, <i>Symphoricarpos occidentalis</i>; silverberry, <i>Elaeagnus commutata</i>), vegetation density, and plant communities dominated by Kentucky bluegrass (<i>Poa pratensis</i>) and native grasses (<i>Stipa</i>, <i>Bouteloua</i>, <i>Koeleria</i>, and <i>Schizachyrium</i>) (Schneider 1998). Abundance was negatively associated with percent clubmoss (<i>Selaginella densa</i>) cover, bare ground, and plant communities dominated solely by native grass. Strongest vegetational predictors of the presence of bobolinks were decreasing bare ground, increasing litter, and increasing vegetation density. Madden (1996) found that the best predictors of occurrence in North Dakota mixed-grass prairie were increasing amounts of forb and grass cover, decreasing amounts of shrub cover, and decreasing frequency of native grasses. <br><br>In Illinois tallgrass prairie fragments, the best predictors of occurrence were mean number of live forb contacts, mean vegetation height, and mean grass height (Herkert 1994a). In another Illinois study, occurred only in patches of Kentucky bluegrass and were absent from tallgrass prairie (Birkenholz 1973). <br><br>In Nebraska, abundance in CRP planted to cool-season grasses was significantly and positively correlated with percent litter cover and negatively correlated with vertical density of vegetation (measured using a Robel pole) (Delisle and Savidge 1997). In tame CRP grasslands in Iowa, abundance was positively correlated with litter cover and grass canopy cover and negatively correlated with forb cover and the horizontal patchiness of vegetation (Patterson and Best 1996). Abundance in Wisconsin was highest in cool-season grasses, followed by wet pastures, bluegrass (Poa)/quackgrass (<i>Agropyron repens</i>) communities, and alfalfa (<i>Medicago sativa</i>/grass hayfields (Sample 1989). In New York tame hayfields, increased in abundance as the hayfields aged (Bollinger 1988, 1995). Older hayfields (more than 3 years old) were characterized by sparse, patchy, grass-dominated vegetation and high litter cover. <br><br>In Nebraska, boblinks nested in wet prairie, alfalfa, upland native prairie, domestic hayland, and wheat (Faanes and Lingle 1995). In Iowa they nested under or near native bluestem (<i>Andropogon </i>or <i>Schizachyrium</i> not specified) or Kentucky bluegrass (Kendeigh 1941). In Wisconsin boblinks nested at the bases of large forbs (Martin 1971). In Montana, nested in a wet-meadow pasture (Silloway 1904). In Ontario, they nested in a weedy meadow near a wetland; nests were built in the litter layer, had a canopy of dead grasses, and were surrounded by living vegetation 33-41 centimeters tall (Boyer and Devitt 1961, Joyner 1978). Boblinks have been found nesting in CRP fields in Iowa and Michigan (Best et al. 1997). <br><br>Boblinks occasionally nest in cropland. In Iowa, they nested at low densities in untilled fields of corn that were idle in the fall and spring and contained year-round crop residue, rather than in tilled fields or strip cover (Basore et al. 1986). In Wisconsin, a few were found in small-grain fields, but none were found in rowcrops (Sample 1989). Graber and Graber (1963) reported fairly heavy use of small grain fields in Illinois. The species was absent from cropland in Saskatchewan and Manitoba (Hartley 1994, Jones 1994). <br><br>During the nonbreeding season, boblinks also occur in rice fields, marshes, and open woody areas (AOU 1983).<br>In Argentina, bobolinks primarily use natural wet grassland habitats associated with main rivers and huge marshes (Di Giacomo et al. 2005)."
